channel,column,n,a,a_se,a_p,b,b_se,b_p,c_prime,c_total,indirect,sobel_z,boot_ci_low,boot_ci_high,a_path_significant,ci_excludes_zero,joint_criterion_met
inventory_turnover,Focal_InvTurn,1013,-2.733839997538547,3.3620260466831144,0.41613060998930707,3.23026304039027e-05,6.210521779462223e-06,1.9792620138996098e-07,-0.014282975601894295,-0.014371285824918128,-8.831022302389395e-05,-0.8033938049138301,-0.00045644630500605606,0.0002824731733395355,False,False,False
receivables_turnover,Focal_SalesVol_Rec,1013,0.2819313674293707,2.374703562015668,0.9054950020805752,-3.7689192974229117e-05,5.021524978950897e-05,0.45292187649264326,-0.01457836988826679,-0.01458899565397935,-1.0625765712533846e-05,-0.11726478227423653,-0.00025691504779275915,0.0002224342971387483,False,False,False
admin_expense_ratio,Focal_AdminExp_Ratio,1017,0.004281086369217923,0.004951628997751747,0.38726858080077164,-0.2561439655202537,0.04756197443024898,7.225238453459605e-08,-0.013529157705592591,-0.014625732144938881,-0.0010965744393461837,-0.8536508588364928,-0.004129421478974674,0.0018361442562188756,False,False,False
operating_cash_flow,Focal_CashFlow,1017,-0.004391683119846931,0.004614420421169702,0.3412338457646328,0.32873904754410793,0.07409766865944556,9.140617733562921e-06,-0.01462573214493896,-0.016069449870872877,-0.0014437177259340166,-0.9305594311415449,-0.004857730524278427,0.0016518593714052792,False,False,False
