file_name,authority_caption,source_media_name
figure_01_genai_adoption_rate.png,Figure 1 Time evolution of GenAI adoption rate in Chinese listed companies (2015-2024),image1.png
figure_02_theoretical_framework.png,Figure 2 Theoretical Framework and Research Propositions,image2.png
figure_03_rd_moderation.png,Figure 3 Moderating Effect of R&D Intensity on the Negative Performance Effect of GenAI,image3.png
figure_04_power_pressure_moderation.png,Figure 4 Moderating Effect of AI-Induced Supply Chain Power Pressure,image4.png
figure_05_placebo_distribution.png,Figure 5 Placebo Test: Distribution of Random-Permutation Coefficients,image5.png
figure_06_event_study.png,Figure 6  Staggered DiD Event-Study Estimates,image6.png
figure_07_psm_balance.png,Figure 7  Covariate Balance before and after Propensity Score Matching,image7.png
figure_08_inventory_turnover_path.png,Figure 8 Candidate-Channel Path of Inventory Turnover,image8.png
figure_09_heterogeneity_forest_plot.png,Figure 9 Heterogeneity Analysis: Forest Plot of Subsample Coefficients,image9.png
