Dependent variable,(1) InvTurn,(2) Focal_ROA,(3) Focal_ROA (Full Sample),(4) Focal_ROA (Strict Sample)
Power_Pressure,−4.366*,,,
,(2.443),,,
InvTurn,,0.0030***,,0.0031***
,,(0.0006),,(0.0009)
GenAI × Power_Pressure,,,−0.0085***,−0.0087***
,,,(0.0018),(0.0017)
Control variables,Yes,Yes,Yes,Yes
Observed value,"1,003","1,003","1,007",891
R-squared,0.338,0.394,0.411,0.407
