Stage,Observations,Number of Focal Firms,Number of partners
Disclosure of original supply chain dyads,"1,571",567,675
Standardized bilateral financial dashboard,"1,569",567,671
Main analysis sample,"1,017",381,418
Strict robustness sample,897,350,375
