类别,词条数量,关键词
核心概念类,5,生成式人工智能、生成式 AI、GENAI、GENERATIVE AI、AIGC
技术术语类,27,大语言模型、大模型、LLM、Transformer、扩散模型、GAN、RLHF、LoRA、RAG、检索增强生成、SFT、指令微调、多模态生成、多模态大模型、预训练模型、基础模型、Foundation Model、生成对抗网络、变分自编码器、VAE、自回归模型、智能体、AI Agent、Prompt、上下文学习、In-Context Learning、混合专家模型、MoE
平台基础设施类,8,火山引擎、火山方舟、千帆大模型、百炼大模型、ModelArts、Amazon Bedrock、Vertex AI、NVIDIA AI
产品与厂商类,63,ChatGPT、GPT、OpenAI、Copilot、Claude、Anthropic、Gemini、PaLM、LLaMA、Mistral、Grok、Hugging Face、Sora、Midjourney、Stable Diffusion、DALL-E、文心一言、通义千问、讯飞星火、智谱 AI、DeepSeek、Kimi、豆包等国内外主流 GenAI 产品与厂商名称（完整列表见附录）
