子组,系数,标准误
所有权：国有企业,−0.0072***,0.0026
所有权：非国有企业,−0.0177***,0.0067
合作方数字领先：是,−0.0452***,0.0142
合作方数字领先：否,−0.0117***,0.0044
供应商支配：高,−0.0124,0.0079
供应商支配：低,−0.0201**,0.0080
关系依赖：高,−0.0061,0.0081
关系依赖：低,−0.0225***,0.0067
地理距离：远,−0.0193***,0.0072
地理距离：近,−0.0114**,0.0050
